,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa
18844,2012-03-01 11:48:00,N,0.0014626838,0.0,0.0,,0.0,,,,,,,,,,,125.6731901103845,-35.673190110384496
23627,2012-03-01 13:30:00,N,1.6215628e-05,0.0,0.0,,0.0,,,,,,,,,,,117.41457615849029,-27.4145761584903
16752,2012-03-02 11:30:00,N,0.00092486927,0.0,0.0,,0.0,,,,,,,,,,,126.1747616369898,-36.1747616369898
22953,2012-03-02 13:06:00,N,0.19755127,0.0,0.0,,0.0,,,,,,,,,,,119.40285447116477,-29.402854471164765
16062,2012-03-02 21:24:00,D,0.002401604,0.0,0.0,,0.0,,,,,,,,,,,67.254363573212,22.745636426788003
2721,2012-03-02 23:00:00,D,0.005308856,0.0,0.0,,0.0,,,,,,,,,,,66.44773701525371,23.552262984746292
8749,2012-03-03 11:12:00,N,0.0002928153,0.0,0.0,,0.0,,,,,,,,,,,126.46808752599058,-36.46808752599058
19140,2012-03-03 12:48:00,N,0.001626307,0.0,0.0,,0.0,,,,,,,,,,,120.6437803150456,-30.643780315045607
4939,2012-03-03 14:30:00,N,3.850762e-05,0.0,0.0,,0.0,,,,,,,,,,,110.01555688156785,-20.01555688156784
14712,2012-03-03 21:00:00,D,0.023890082,0.0,0.0,,0.0,,,,,,,,,,,67.90840199756491,22.09159800243509
13935,2012-03-03 22:42:00,D,0.009358812,0.0,0.0,,0.0,,,,,,,,,,,65.79773523270028,24.202264767299724
40,2012-03-04 00:24:00,D,0.035867535,0.0,0.0,,0.0,,,,,,,,,,,69.78182384915644,20.218176150843558
2020,2012-03-04 10:48:00,N,0.0005002964,0.0,0.0,,0.0,,,,,,,,,,,126.6538994072662,-36.653899407266195
3305,2012-03-04 12:30:00,N,0.00080217957,0.0,0.0,,0.0,,,,,,,,,,,121.73254661969149,-31.73254661969149
12281,2012-03-04 14:12:00,N,0.00035007118,0.0,0.0,,0.0,,,,,,,,,,,111.74204087354488,-21.742040873544887
7299,2012-03-04 20:42:00,D,0.11561592,0.0,0.0,,0.0,,,,,,,,,,,68.50599232352225,21.49400767647775
5412,2012-03-04 22:24:00,D,0.79106957,2.0,1.0,398963.8131511715,2.0,398963.8131511715,264.37445068359375,278.8734436035156,279.33392333984375,14.498992919921875,254.77398681640625,254.9164276123047,24.099456787109375,418831.7577904415,0.2638990053168535,65.33533142589042,24.664668574109587
21762,2012-03-05 00:06:00,D,0.0006551026,0.0,0.0,,0.0,,,,,,,,,,,68.30650640352827,21.69349359647173
18675,2012-03-05 12:12:00,N,0.014749881,0.0,0.0,,0.0,,,,,,,,,,,122.65514808220931,-32.6551480822093
16964,2012-03-05 13:54:00,N,1.5033692e-05,0.0,0.0,,0.0,,,,,,,,,,,113.38480552931779,-23.384805529317795
19296,2012-03-05 22:06:00,D,1.1288364e-05,0.0,0.0,,0.0,,,,,,,,,,,65.06340964220115,24.936590357798842
13151,2012-03-05 23:48:00,D,8.581592e-05,0.0,0.0,,0.0,,,,,,,,,,,66.98564344069618,23.014356559303813
23582,2012-03-06 11:54:00,N,0.0010616553,0.0,0.0,,0.0,,,,,,,,,,,123.39866539978397,-33.398665399783965
2275,2012-03-06 13:36:00,N,0.00028349875,0.0,0.0,,0.0,,,,,,,,,,,114.92981822523677,-24.929818225236776
18503,2012-03-06 21:48:00,D,0.018958976,0.0,0.0,,0.0,,,,,,,,,,,64.98284926848815,25.01715073151185
20066,2012-03-06 23:24:00,D,0.023643702,0.0,0.0,,0.0,,,,,,,,,,,65.6072907756201,24.392709224379896
14411,2012-03-07 11:36:00,N,0.022868687,0.0,0.0,,0.0,,,,,,,,,,,123.95170923197449,-33.95170923197448
4007,2012-03-07 13:12:00,N,0.00021242649,0.0,0.0,,0.0,,,,,,,,,,,116.94102719050227,-26.94102719050227
10504,2012-03-07 21:30:00,D,0.06551106,0.0,0.0,,0.0,,,,,,,,,,,65.0924635593831,24.9075364406169
4649,2012-03-07 23:06:00,D,0.9675715,8.0,1.0,1333230.3260865256,8.0,1333230.3260865256,269.02313232421875,280.1304931640625,284.7975769042969,11.10736083984375,264.96685791015625,265.65069580078125,15.16363525390625,1489485.1694689356,0.7133277483654021,64.68604510565254,25.31395489434746
17421,2012-03-08 11:18:00,N,0.06523852,0.0,0.0,,0.0,,,,,,,,,,,124.30486757810458,-34.30486757810458
7244,2012-03-08 12:54:00,N,0.013983827,0.0,0.0,,0.0,,,,,,,,,,,118.20392063030116,-28.203920630301162
9307,2012-03-08 14:36:00,N,0.019312127,0.0,0.0,,0.0,,,,,,,,,,,107.45988450925665,-17.459884509256657
19117,2012-03-08 21:06:00,D,0.0015604254,0.0,0.0,,0.0,,,,,,,,,,,65.6603391473563,24.3396608526437
10770,2012-03-08 22:48:00,D,0.0023756174,0.0,0.0,,0.0,,,,,,,,,,,63.94844273189911,26.051557268100893
19059,2012-03-09 10:54:00,N,7.7401775e-05,0.0,0.0,,0.0,,,,,,,,,,,124.58487459822383,-34.584874598223834
3755,2012-03-09 12:36:00,N,0.0029082766,0.0,0.0,,0.0,,,,,,,,,,,119.32164010683873,-29.32164010683873
5644,2012-03-09 14:18:00,N,0.0063164136,0.0,0.0,,0.0,,,,,,,,,,,109.1890578882194,-19.1890578882194
23018,2012-03-09 20:48:00,D,0.40144908,0.0,0.0,,0.0,,,,,,,,,,,66.19780331805002,23.802196681949983
17962,2012-03-09 22:30:00,D,0.18508275,0.0,0.0,,0.0,,,,,,,,,,,63.40026199439764,26.59973800560236
11151,2012-03-10 00:12:00,D,0.1193942,0.0,0.0,,0.0,,,,,,,,,,,66.85445428976045,23.145545710239542
2422,2012-03-10 12:18:00,N,0.032226738,0.0,0.0,,0.0,,,,,,,,,,,120.28070794933524,-30.28070794933524
15928,2012-03-10 14:00:00,N,0.009779004,0.0,0.0,,0.0,,,,,,,,,,,110.83861687466919,-20.838616874669178
