,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa
1639,2012-03-01 01:18:00,D,0.0014407864,0.0,0.0,,0.0,,,,,,,,,,,65.87409845516831,24.125901544831688
15953,2012-03-01 11:48:00,N,0.0004842011,0.0,0.0,,0.0,,,,,,,,,,,133.1564717235501,-43.15647172355011
19526,2012-03-01 13:30:00,N,0.0004233447,0.0,0.0,,0.0,,,,,,,,,,,126.95427405149043,-36.95427405149043
2529,2012-03-02 01:00:00,D,0.0045391,0.0,0.0,,0.0,,,,,,,,,,,64.25281986697696,25.747180133023033
17075,2012-03-02 13:12:00,N,0.104239404,0.0,0.0,,0.0,,,,,,,,,,,128.20185591471744,-38.20185591471745
10254,2012-03-02 14:48:00,N,0.00046531614,0.0,0.0,,0.0,,,,,,,,,,,117.72649382241185,-27.726493822411857
2087,2012-03-02 23:00:00,D,0.0004297283,0.0,0.0,,0.0,,,,,,,,,,,60.87748381312924,29.12251618687076
13277,2012-03-03 00:42:00,D,0.0023766013,0.0,0.0,,0.0,,,,,,,,,,,62.814272744745566,27.185727255254438
14955,2012-03-03 12:54:00,N,9.976354e-05,0.0,0.0,,0.0,,,,,,,,,,,129.23685838531156,-39.23685838531158
3886,2012-03-03 14:30:00,N,0.0008143372,0.0,0.0,,0.0,,,,,,,,,,,119.62718178917008,-29.62718178917008
11264,2012-03-03 22:42:00,D,5.2913165e-05,0.0,0.0,,0.0,,,,,,,,,,,60.92645626947823,29.07354373052177
560,2012-03-04 00:24:00,D,9.9561716e-05,0.0,0.0,,0.0,,,,,,,,,,,61.57166155168702,28.428338448312978
19879,2012-03-04 12:36:00,N,1.6546495e-05,0.0,0.0,,0.0,,,,,,,,,,,130.04137270726903,-40.04137270726903
10183,2012-03-04 14:12:00,N,0.00081210013,0.0,0.0,,0.0,,,,,,,,,,,121.40126878456753,-31.40126878456753
4724,2012-03-04 22:24:00,D,3.1623902e-05,0.0,0.0,,0.0,,,,,,,,,,,61.20231053458212,28.797689465417882
18566,2012-03-05 00:06:00,D,0.00023036187,0.0,0.0,,0.0,,,,,,,,,,,60.53706035470663,29.462939645293368
16126,2012-03-05 12:12:00,N,7.2618655e-05,0.0,0.0,,0.0,,,,,,,,,,,130.85991282268714,-40.85991282268712
13646,2012-03-05 13:54:00,N,0.002501605,0.0,0.0,,0.0,,,,,,,,,,,123.03005033556212,-33.03005033556213
16817,2012-03-05 22:06:00,D,7.63875e-05,0.0,0.0,,0.0,,,,,,,,,,,61.699614900503455,28.300385099496545
17589,2012-03-05 23:42:00,D,0.00015192005,0.0,0.0,,0.0,,,,,,,,,,,59.62681811949196,30.373181880508042
19649,2012-03-06 11:54:00,N,0.0052871597,0.0,0.0,,0.0,,,,,,,,,,,131.07313766819658,-41.07313766819658
2433,2012-03-06 13:36:00,N,0.0016480038,0.0,0.0,,0.0,,,,,,,,,,,124.4944360634237,-34.4944360634237
17443,2012-03-06 23:24:00,D,0.04571873,0.0,0.0,,0.0,,,,,,,,,,,59.11601900731797,30.88398099268203
1144,2012-03-07 01:06:00,D,0.23079354,0.0,0.0,,0.0,,,,,,,,,,,62.88746675943871,27.112533240561287
5554,2012-03-07 13:18:00,N,0.00060354604,0.0,0.0,,0.0,,,,,,,,,,,125.7753458347058,-35.775345834705796
9538,2012-03-07 14:54:00,N,0.023073789,0.0,0.0,,0.0,,,,,,,,,,,115.15306125071135,-25.15306125071135
4088,2012-03-07 23:06:00,D,0.08093334,0.0,0.0,,0.0,,,,,,,,,,,58.838586968515806,31.161413031484194
5671,2012-03-08 00:48:00,D,0.008192734,0.0,0.0,,0.0,,,,,,,,,,,61.34470290330396,28.65529709669604
15296,2012-03-08 13:00:00,N,0.0036490613,0.0,0.0,,0.0,,,,,,,,,,,126.85430398770353,-36.85430398770354
7599,2012-03-08 14:36:00,N,0.0027038942,0.0,0.0,,0.0,,,,,,,,,,,117.05917068012327,-27.05917068012327
8928,2012-03-08 22:48:00,D,7.4307536e-05,0.0,0.0,,0.0,,,,,,,,,,,58.796202229621294,31.203797770378706
19972,2012-03-09 00:30:00,D,0.00011698131,0.0,0.0,,0.0,,,,,,,,,,,59.99523852332244,30.004761476677555
6088,2012-03-09 12:42:00,N,0.0006172977,0.0,0.0,,0.0,,,,,,,,,,,127.71413942684352,-37.714139426843516
4490,2012-03-09 14:18:00,N,0.039012738,0.0,0.0,,0.0,,,,,,,,,,,118.84447626123247,-28.84447626123247
15309,2012-03-09 22:30:00,D,0.00018425289,0.0,0.0,,0.0,,,,,,,,,,,58.987368979206195,31.012631020793805
9852,2012-03-10 00:12:00,D,0.002650305,0.0,0.0,,0.0,,,,,,,,,,,58.85251030913888,31.14748969086112
2296,2012-03-10 12:18:00,N,0.00093411177,0.0,0.0,,0.0,,,,,,,,,,,128.626703926376,-38.626703926375995
13379,2012-03-10 14:00:00,N,0.00037497786,0.0,0.0,,0.0,,,,,,,,,,,120.49132366258175,-30.491323662581753
5368,2012-03-10 22:12:00,D,0.053468022,0.0,0.0,,0.0,,,,,,,,,,,59.407446103729484,30.592553896270513
3885,2012-03-10 23:48:00,D,0.016484715,0.0,0.0,,0.0,,,,,,,,,,,57.79959566744639,32.20040433255361
17601,2012-03-11 12:00:00,N,0.003978797,0.0,0.0,,0.0,,,,,,,,,,,128.9219354381552,-38.92193543815521
1082,2012-03-11 13:42:00,N,0.005013316,0.0,0.0,,0.0,,,,,,,,,,,121.98169143004604,-31.981691430046045
10246,2012-03-11 23:30:00,D,0.012255691,0.0,0.0,,0.0,,,,,,,,,,,57.18401120812065,32.81598879187935
12185,2012-03-12 01:12:00,D,0.11763096,0.0,0.0,,0.0,,,,,,,,,,,61.56050956031969,28.439490439680316
3715,2012-03-12 13:24:00,N,7.130751e-06,0.0,0.0,,0.0,,,,,,,,,,,123.29756152459485,-33.297561524594855
11802,2012-03-12 15:06:00,N,0.004671513,0.0,0.0,,0.0,,,,,,,,,,,111.7477321286708,-21.7477321286708
12959,2012-03-12 23:12:00,D,0.16445364,0.0,0.0,,0.0,,,,,,,,,,,56.805912426236254,33.194087573763746
10490,2012-03-13 00:54:00,D,0.0005143475,0.0,0.0,,0.0,,,,,,,,,,,59.913108913647626,30.086891086352374
17047,2012-03-13 13:06:00,N,0.0019006538,0.0,0.0,,0.0,,,,,,,,,,,124.421390605345,-34.421390605344996
15320,2012-03-13 14:42:00,N,2.218591e-05,0.0,0.0,,0.0,,,,,,,,,,,114.44711338866634,-24.44711338866634
14700,2012-03-13 22:54:00,D,0.00037888874,0.0,0.0,,0.0,,,,,,,,,,,56.66850268051394,33.33149731948606
14489,2012-03-14 00:36:00,D,0.002020021,0.0,0.0,,0.0,,,,,,,,,,,58.45561826175319,31.54438173824681
14342,2012-03-14 12:48:00,N,4.3411423e-05,0.0,0.0,,0.0,,,,,,,,,,,125.33670084092381,-35.33670084092382
8120,2012-03-14 14:24:00,N,0.011930413,0.0,0.0,,0.0,,,,,,,,,,,116.24662747079645,-26.246627470796458
9957,2012-03-14 22:36:00,D,0.0005950338,0.0,0.0,,0.0,,,,,,,,,,,56.7715770652786,33.2284229347214
17715,2012-03-15 00:18:00,D,0.0027655326,0.0,0.0,,0.0,,,,,,,,,,,57.2028830207974,32.7971169792026
2825,2012-03-15 12:24:00,N,0.00027659241,0.0,0.0,,0.0,,,,,,,,,,,126.34144898858938,-36.34144898858938
10197,2012-03-15 14:06:00,N,0.003418052,0.0,0.0,,0.0,,,,,,,,,,,117.9141208264594,-27.9141208264594
16932,2012-03-15 22:18:00,D,0.0066899355,0.0,0.0,,0.0,,,,,,,,,,,57.11149167460804,32.88850832539196
16001,2012-03-15 23:54:00,D,0.0056235767,0.0,0.0,,0.0,,,,,,,,,,,56.0028768402341,33.9971231597659
578,2012-03-16 12:06:00,N,0.0023139527,0.0,0.0,,0.0,,,,,,,,,,,126.71738601560146,-36.71738601560146
6969,2012-03-16 13:48:00,N,0.0029067174,0.0,0.0,,0.0,,,,,,,,,,,119.43255554877057,-29.432555548770566
7645,2012-03-16 23:36:00,D,0.03473215,0.0,0.0,,0.0,,,,,,,,,,,55.279385637305914,34.720614362694086
36,2012-03-17 01:18:00,D,0.0017117861,0.0,0.0,,0.0,,,,,,,,,,,60.28433994032157,29.715660059678424
16968,2012-03-17 11:48:00,N,0.0025865003,0.0,0.0,,0.0,,,,,,,,,,,126.8459096852136,-36.84590968521359
18534,2012-03-17 13:30:00,N,0.0060935984,0.0,0.0,,0.0,,,,,,,,,,,120.7848612874468,-30.784861287446805
4529,2012-03-17 23:18:00,D,0.00020540338,0.0,0.0,,0.0,,,,,,,,,,,54.79726648945681,35.20273351054319
10205,2012-03-18 01:00:00,D,0.00032143382,0.0,0.0,,0.0,,,,,,,,,,,58.53299747486027,31.467002525139733
9361,2012-03-18 13:12:00,N,0.0033952107,0.0,0.0,,0.0,,,,,,,,,,,121.95435018279849,-31.954350182798485
3025,2012-03-18 14:48:00,N,0.0028383934,0.0,0.0,,0.0,,,,,,,,,,,111.80844397265575,-21.808443972655752
14411,2012-03-18 23:00:00,D,0.0009461633,0.0,0.0,,0.0,,,,,,,,,,,54.56144396307837,35.43855603692163
652,2012-03-19 00:42:00,D,0.0021162285,0.0,0.0,,0.0,,,,,,,,,,,56.96744981520164,33.03255018479836
7671,2012-03-19 12:54:00,N,0.63927853,1.0,1.0,82704.67399261615,1.0,82704.67399261615,255.90147399902344,267.1952209472656,267.1952209472656,11.293746948242188,261.8821105957031,261.8821105957031,5.3131103515625,99674.35871281766,0.13764099999999999,122.92520693180244,-32.925206931802435
11275,2012-03-19 14:30:00,N,0.5415023,4.0,1.0,267636.75954529096,4.0,267636.75954529096,249.89553833007812,261.7448425292969,262.6108703613281,11.84930419921875,255.68466186523438,256.1561279296875,6.0601806640625,320980.90791145473,0.5034865764799118,113.62501815978527,-23.625018159785267
3889,2012-03-19 22:42:00,D,0.000599278,0.0,0.0,,0.0,,,,,,,,,,,54.5732123790183,35.4267876209817
659,2012-03-20 00:24:00,D,0.0029574842,0.0,0.0,,0.0,,,,,,,,,,,55.603915245529905,34.396084754470095
10914,2012-03-20 14:12:00,N,0.16968928,0.0,0.0,,0.0,,,,,,,,,,,115.31560609257932,-25.315606092579312
3913,2012-03-20 22:24:00,D,0.0024824275,0.0,0.0,,0.0,,,,,,,,,,,54.830095793702476,35.169904206297524
17689,2012-03-21 00:06:00,D,0.019290075,0.0,0.0,,0.0,,,,,,,,,,,54.45765582354544,35.54234417645456
15016,2012-03-21 12:12:00,N,0.02504827,0.0,0.0,,0.0,,,,,,,,,,,124.47541057149063,-34.47541057149063
14887,2012-03-21 13:54:00,N,0.0060939803,0.0,0.0,,0.0,,,,,,,,,,,116.86404071327247,-26.86404071327247
16917,2012-03-21 22:06:00,D,0.012357234,0.0,0.0,,0.0,,,,,,,,,,,55.325933376499556,34.674066623500444
18685,2012-03-21 23:42:00,D,0.0252543,0.0,0.0,,0.0,,,,,,,,,,,53.41975393764864,36.58024606235136
19197,2012-03-22 11:54:00,N,0.00038374373,0.0,0.0,,0.0,,,,,,,,,,,124.69288379466383,-34.69288379466383
16269,2012-03-22 23:24:00,D,1.1758092e-05,0.0,0.0,,0.0,,,,,,,,,,,52.830694517964645,37.169305482035355
66,2012-03-23 01:06:00,D,8.785585e-05,0.0,0.0,,0.0,,,,,,,,,,,57.217697701107156,32.782302298892844
5572,2012-03-23 13:18:00,N,0.00029826406,0.0,0.0,,0.0,,,,,,,,,,,119.46993375900345,-29.46993375900346
9002,2012-03-23 14:54:00,N,8.368372e-05,0.0,0.0,,0.0,,,,,,,,,,,109.1604701314483,-19.16047013144831
4542,2012-03-23 23:06:00,D,0.007757811,0.0,0.0,,0.0,,,,,,,,,,,52.49327292768226,37.50672707231774
7586,2012-03-24 00:48:00,D,0.011485809,0.0,0.0,,0.0,,,,,,,,,,,55.545196109235306,34.454803890764694
16012,2012-03-26 22:12:00,D,0.00019512649,0.0,0.0,,0.0,,,,,,,,,,,53.000595473568715,36.999404526431285
14478,2012-03-26 23:48:00,D,0.07036745,0.0,0.0,,0.0,,,,,,,,,,,51.62211986508757,38.37788013491243
8132,2012-03-27 12:00:00,N,3.8928247e-05,0.0,0.0,,0.0,,,,,,,,,,,122.51687090246239,-32.516870902462394
10391,2012-03-27 13:42:00,N,0.11565489,0.0,0.0,,0.0,,,,,,,,,,,115.72182305572936,-25.72182305572936
921,2012-03-27 23:30:00,D,0.00040073288,0.0,0.0,,0.0,,,,,,,,,,,50.92352470168408,39.07647529831592
12702,2012-03-28 01:12:00,D,0.011746561,0.0,0.0,,0.0,,,,,,,,,,,55.97926829136795,34.02073170863205
1128,2012-03-28 13:24:00,N,0.005597732,0.0,0.0,,0.0,,,,,,,,,,,116.98453037287337,-26.984530372873373
13108,2012-03-28 15:06:00,N,0.014000008,0.0,0.0,,0.0,,,,,,,,,,,105.75291949038021,-15.752919490380213
11946,2012-03-28 23:12:00,D,0.00011830682,0.0,0.0,,0.0,,,,,,,,,,,50.48145778312793,39.51854221687207
14429,2012-03-29 00:54:00,D,0.00030977387,0.0,0.0,,0.0,,,,,,,,,,,54.20187206931763,35.79812793068237
17896,2012-03-29 13:06:00,N,0.0010399299,0.0,0.0,,0.0,,,,,,,,,,,118.06632134682938,-28.06632134682938
19728,2012-03-29 14:42:00,N,0.002031877,0.0,0.0,,0.0,,,,,,,,,,,108.37817270731361,-18.378172707313606
10223,2012-03-29 22:54:00,D,0.00016736225,0.0,0.0,,0.0,,,,,,,,,,,50.30094612864825,39.69905387135175
14064,2012-03-30 00:36:00,D,0.0002116731,0.0,0.0,,0.0,,,,,,,,,,,52.61818001212887,37.38181998787113
14204,2012-03-30 12:48:00,N,5.508226e-06,0.0,0.0,,0.0,,,,,,,,,,,118.95362951435844,-28.953629514358443
7916,2012-03-30 14:24:00,N,0.7262435,3.0,1.0,96848.95272530415,3.0,96848.95272530415,254.3975067138672,260.9305419921875,262.2518310546875,6.5330352783203125,257.2479553222656,257.68853759765625,3.682586669921875,145234.37479281888,0.3327994208988547,110.12147091747994,-20.121470917479932
11104,2012-03-30 22:36:00,D,0.00016394179,0.0,0.0,,0.0,,,,,,,,,,,50.38260104017575,39.61739895982425
