,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa,mirova_numhot,mirova_class,mirova_radiance,max_nti,max_eti,max_dnti,max_deti,max_dnti_z,max_deti_z
18832,2012-03-01 01:18:00,D,6.333135e-05,0.0,False,,0.0,,,,,,,,,,,65.38053703291214,24.61946296708786,0.0,False,0.0,-0.92207235,0.0087990165,0.006324768,0.006540358,3.1824043,3.1421525
3382,2012-03-01 11:48:00,N,0.0026444616,0.0,False,,0.0,,,,,,,,,,,133.69234787526182,-43.6923478752618,0.0,False,0.0,-0.9648221,0.0039156675,0.0046232566,0.0029366314,2.9358585,2.8557732
2423,2012-03-01 13:30:00,N,0.0030324098,0.0,False,,0.0,,,,,,,,,,,127.40877874452516,-37.40877874452517,0.0,False,0.0,-0.96358037,0.002819121,0.003914617,0.002037853,3.0731936,3.0160825
15500,2012-03-02 01:00:00,D,0.006810755,0.0,False,,0.0,,,,,,,,,,,63.74432765119515,26.255672348804847,0.0,False,0.0,-0.8080973,0.1084066,0.028183334,0.042148508,3.291709,4.553968
4896,2012-03-02 13:12:00,N,0.004508361,0.0,False,,0.0,,,,,,,,,,,128.68097319442631,-38.68097319442633,0.0,False,0.0,-0.9748186,0.0026899576,0.0029981285,0.0018032044,3.7236779,2.6305783
7844,2012-03-02 14:48:00,N,3.8552414e-05,0.0,False,,0.0,,,,,,,,,,,118.05434973276164,-28.05434973276164,0.0,False,0.0,-0.97983134,0.0041087866,0.0040022284,0.0039993674,3.8173845,3.8004043
19659,2012-03-02 23:00:00,D,0.0046858233,0.0,False,,0.0,,,,,,,,,,,60.361169323200464,29.638830676799536,0.0,False,0.0,-0.86421627,0.048107386,0.044771552,0.04138639,3.5799663,3.5026917
6010,2012-03-03 00:42:00,D,0.0024306634,0.0,False,,0.0,,,,,,,,,,,62.293774763950154,27.706225236049843,0.0,False,0.0,-0.8489194,0.04268217,0.039487794,0.03350635,3.7059414,3.3999312
3139,2012-03-03 12:54:00,N,0.42939287,0.0,False,,0.0,,,,,,,,,,,129.7369170250157,-39.73691702501572,0.0,False,0.0,-0.969359,0.0023499727,0.0042261407,0.0028227195,4.263945,4.3435025
16614,2012-03-03 14:30:00,N,0.003172477,0.0,False,,0.0,,,,,,,,,,,119.98773039998213,-29.987730399982127,0.0,False,0.0,-0.97754985,0.00328511,0.0033186525,0.003249988,2.9729166,2.900905
9325,2012-03-03 22:42:00,D,0.00014094874,0.0,False,,0.0,,,,,,,,,,,60.424700327765336,29.575299672234664,0.0,False,0.0,-0.89214176,0.016200364,0.008501567,0.010435179,3.2468214,3.8884327
17501,2012-03-04 00:24:00,D,5.5365475e-05,0.0,False,,0.0,,,,,,,,,,,61.042473862720065,28.957526137279935,0.0,False,0.0,-0.9272139,0.015413046,0.0028397068,0.004216954,2.8232348,3.7885695
2074,2012-03-04 12:36:00,N,3.938991e-06,0.0,False,,0.0,,,,,,,,,,,130.55805261231842,-40.558052612318406,0.0,False,0.0,-0.97882956,0.0018127561,0.0017619953,0.0017145127,2.8591883,2.6901484
7911,2012-03-04 14:12:00,N,0.0006240573,0.0,False,,0.0,,,,,,,,,,,121.79321577499412,-31.793215774994128,0.0,False,0.0,-0.9703514,0.005009532,0.0021637976,0.0022312477,2.7035594,2.901897
17015,2012-03-04 22:24:00,D,4.6047306e-05,0.0,False,,0.0,,,,,,,,,,,60.719002933817436,29.280997066182568,0.0,False,0.0,-0.8491835,0.014345229,0.011269346,0.007163428,3.3275697,2.5512319
16451,2012-03-05 00:00:00,D,1.9158211e-05,0.0,False,,0.0,,,,,,,,,,,59.83128324739087,30.168716752609125,0.0,False,0.0,-0.9369036,0.006414652,0.0028201118,0.002854444,2.7081838,2.6313994
