,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa
12428,2012-03-01 11:48:00,N,0.9286128,2.0,1.0,140942.71452649176,2.0,140942.71452649176,253.14581298828125,263.5784606933594,263.5784606933594,10.432647705078125,256.4970703125,256.4970703125,7.081390380859375,159734.79668908595,0.27528199999999997,124.51103683820142,-34.51103683820141
17677,2012-03-01 13:30:00,N,8.745938e-06,0.0,0.0,,0.0,,,,,,,,,,,116.46987561891291,-26.469875618912912
24681,2012-03-02 11:30:00,N,0.99214655,2.0,1.0,304438.6732295054,2.0,304438.6732295054,250.940185546875,268.4537658691406,268.4537658691406,17.513580322265625,256.03778076171875,256.03778076171875,12.415985107421875,293054.4862322925,0.27528199999999997,125.00159809986465,-35.00159809986465
18334,2012-03-02 13:06:00,N,2.7317199e-05,0.0,0.0,,0.0,,,,,,,,,,,118.38700897364524,-28.387008973645234
19478,2012-03-02 14:48:00,N,0.0040347767,0.0,0.0,,0.0,,,,,,,,,,,107.54653741170932,-17.546537411709316
22380,2012-03-02 21:24:00,D,0.53361666,1.0,1.0,498613.65901442885,1.0,498613.65901442885,272.691162109375,298.70782470703125,298.70782470703125,26.01666259765625,244.60751342773438,244.60751342773438,54.100311279296875,648652.4634097526,0.13764099999999999,68.23381099264454,21.766189007355468
8321,2012-03-02 23:00:00,D,0.11746938,0.0,0.0,,0.0,,,,,,,,,,,67.61035303275307,22.38964696724694
6106,2012-03-03 11:06:00,N,0.25819713,0.0,0.0,,0.0,,,,,,,,,,,125.47622794528884,-35.47622794528884
12896,2012-03-03 12:48:00,N,0.011238632,0.0,0.0,,0.0,,,,,,,,,,,119.58126242738008,-29.581262427380082
12260,2012-03-03 14:30:00,N,0.13380942,0.0,0.0,,0.0,,,,,,,,,,,109.27274648857227,-19.27274648857227
20745,2012-03-03 21:00:00,D,0.002738432,0.0,0.0,,0.0,,,,,,,,,,,68.81048727936329,21.189512720636706
21549,2012-03-03 22:42:00,D,0.17793792,0.0,0.0,,0.0,,,,,,,,,,,66.94365826786812,23.056341732131884
9059,2012-03-04 10:48:00,N,0.013314817,0.0,0.0,,0.0,,,,,,,,,,,125.49611062596274,-35.49611062596274
10027,2012-03-04 12:30:00,N,0.859337,1.0,1.0,73101.10501085222,1.0,73101.10501085222,249.0087432861328,260.9520263671875,260.9520263671875,11.943283081054688,252.59164428710938,252.59164428710938,8.360382080078125,77617.57753729261,0.13764099999999999,120.63036923861029,-30.63036923861029
20194,2012-03-04 14:12:00,N,0.6611583,2.0,1.0,122381.55283135503,2.0,122381.55283135503,249.28536987304688,259.0549621582031,259.0549621582031,9.76959228515625,252.7513885498047,252.7513885498047,6.3035736083984375,120716.47506981835,0.27528199999999997,110.93194628703553,-20.931946287035526
459,2012-03-04 20:42:00,D,0.19092257,0.0,0.0,,0.0,,,,,,,,,,,69.34326935538097,20.65673064461903
10943,2012-03-04 22:24:00,D,0.81429946,1.0,1.0,450389.51318129,1.0,450389.51318129,255.7215576171875,287.63037109375,287.63037109375,31.9088134765625,254.8141632080078,254.8141632080078,32.81620788574219,478350.2990837205,0.13764099999999999,66.45628499699998,23.54371500300002
15742,2012-03-05 00:06:00,D,0.18740001,0.0,0.0,,0.0,,,,,,,,,,,69.46028757133621,20.539712428663787
12606,2012-03-05 12:12:00,N,0.97549284,4.0,1.0,422896.1785177544,4.0,422896.1785177544,250.539306640625,265.45086669921875,266.9571533203125,14.91156005859375,251.451416015625,252.46820068359375,13.99945068359375,458264.7440008566,0.4821924908604621,121.52118300073086,-31.52118300073086
