,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa
5089,2012-03-01 11:48:00,N,0.0091894455,0.0,0.0,,0.0,,,,,,,,,,,131.90352816182462,-41.90352816182463
9409,2012-03-01 13:30:00,N,0.0001688428,0.0,0.0,,0.0,,,,,,,,,,,124.74622415698704,-34.74622415698705
13702,2012-03-02 01:00:00,D,0.010601189,0.0,0.0,,0.0,,,,,,,,,,,66.1099346419251,23.890065358074903
6913,2012-03-02 13:12:00,N,8.8109355e-06,0.0,0.0,,0.0,,,,,,,,,,,126.1125317834618,-36.11253178346181
693,2012-03-02 14:48:00,N,0.0012324044,0.0,0.0,,0.0,,,,,,,,,,,115.24458237049494,-25.244582370494935
11954,2012-03-02 23:00:00,D,0.0007466383,0.0,0.0,,0.0,,,,,,,,,,,61.515063189129705,28.48493681087029
3133,2012-03-03 00:42:00,D,0.0014649756,0.0,0.0,,0.0,,,,,,,,,,,64.53027239634665,25.469727603653357
6111,2012-03-03 12:54:00,N,0.0075111217,0.0,0.0,,0.0,,,,,,,,,,,127.28828737737697,-37.288287377376975
15158,2012-03-03 14:30:00,N,0.000103482795,0.0,0.0,,0.0,,,,,,,,,,,117.18173500968456,-27.181735009684566
2389,2012-03-03 22:42:00,D,0.055987507,0.0,0.0,,0.0,,,,,,,,,,,61.3478140544709,28.652185945529098
11119,2012-03-04 00:24:00,D,0.999337,18.0,1.0,7809877.393202685,18.0,7809877.393202685,263.3911437988281,288.20074462890625,299.5075988769531,24.809600830078125,252.53323364257812,253.62229919433594,35.667510986328125,8437281.634936012,1.387032611169934,63.13084347503919,26.869156524960808
13366,2012-03-04 12:30:00,N,0.024977734,0.0,0.0,,0.0,,,,,,,,,,,128.6575661361407,-38.6575661361407
1284,2012-03-04 14:12:00,N,0.0086309835,0.0,0.0,,0.0,,,,,,,,,,,119.00928872590488,-29.009288725904877
14109,2012-03-04 22:24:00,D,0.0012546437,0.0,0.0,,0.0,,,,,,,,,,,61.404337284947346,28.595662715052658
7817,2012-03-05 00:06:00,D,9.860046e-06,0.0,0.0,,0.0,,,,,,,,,,,61.92425811475788,28.075741885242117
5245,2012-03-05 12:12:00,N,0.000422272,0.0,0.0,,0.0,,,,,,,,,,,129.32248163674686,-39.32248163674686
4794,2012-03-05 13:54:00,N,0.0021533566,0.0,0.0,,0.0,,,,,,,,,,,120.70980092356295,-30.709800923562952
7323,2012-03-05 22:06:00,D,0.000463329,0.0,0.0,,0.0,,,,,,,,,,,61.681946908667925,28.318053091332075
8788,2012-03-05 23:42:00,D,0.00013203832,0.0,0.0,,0.0,,,,,,,,,,,60.76161306895456,29.238386931045444
9450,2012-03-06 11:54:00,N,0.0061070574,0.0,0.0,,0.0,,,,,,,,,,,129.74394187457708,-39.743941874577075
11726,2012-03-06 13:36:00,N,6.444717e-05,0.0,0.0,,0.0,,,,,,,,,,,122.26530137495249,-32.265301374952486
6079,2012-03-06 21:48:00,D,0.07461623,0.0,0.0,,0.0,,,,,,,,,,,62.17523853845188,27.82476146154812
6684,2012-03-06 23:24:00,D,0.15243155,0.0,0.0,,0.0,,,,,,,,,,,60.04851741394313,29.95148258605687
1369,2012-03-07 11:36:00,N,0.002640028,0.0,0.0,,0.0,,,,,,,,,,,129.9125041131038,-39.91250411310382
16126,2012-03-07 13:18:00,N,0.005738629,0.0,0.0,,0.0,,,,,,,,,,,123.65760470140832,-33.65760470140832
14760,2012-03-07 23:06:00,D,0.0020643552,0.0,0.0,,0.0,,,,,,,,,,,59.559035322168754,30.44096467783125
15671,2012-03-08 00:48:00,D,0.12499924,0.0,0.0,,0.0,,,,,,,,,,,63.13819446613341,26.861805533866583
5740,2012-03-08 13:00:00,N,0.0013433535,0.0,0.0,,0.0,,,,,,,,,,,124.86871676956206,-34.868716769562056
18846,2012-03-08 14:36:00,N,0.0056613483,0.0,0.0,,0.0,,,,,,,,,,,114.60746573981073,-24.60746573981073
20210,2012-03-08 22:48:00,D,0.13375928,0.0,0.0,,0.0,,,,,,,,,,,59.29742883167351,30.702571168326493
9267,2012-03-09 00:30:00,D,0.09688304,0.0,0.0,,0.0,,,,,,,,,,,61.636763499761,28.363236500239
15531,2012-03-09 12:42:00,N,6.33156e-05,0.0,0.0,,0.0,,,,,,,,,,,125.88138110647566,-35.88138110647566
14556,2012-03-09 14:18:00,N,9.485232e-05,0.0,0.0,,0.0,,,,,,,,,,,116.44263511695561,-26.442635116955607
5870,2012-03-09 22:30:00,D,0.020599663,0.0,0.0,,0.0,,,,,,,,,,,59.26506056519682,30.734939434803184
19244,2012-03-10 00:12:00,D,0.016873306,0.0,0.0,,0.0,,,,,,,,,,,60.32578211311063,29.674217886889373
11582,2012-03-10 12:18:00,N,0.008234867,0.0,0.0,,0.0,,,,,,,,,,,127.0281903586883,-37.028190358688306
2574,2012-03-10 14:00:00,N,0.00033379064,0.0,0.0,,0.0,,,,,,,,,,,118.15662327784611,-28.156623277846116
